CardNum,time,dist,cal,count
31,"2018-10-11 16:57:20",1,149.51909412454756,1
31,"2018-10-11 16:54:19",0,0,0
6,"2018-10-11 16:25:47",0,0,9
21,"2018-10-11 16:25:43",0,0,8
31,"2018-10-10 19:01:19",0,0,0
14,"2018-10-10 17:55:18",0,0,1
6,"2018-10-10 17:05:47",1,46.43069171509502,9
6,"2018-10-10 16:53:03",0,0,8
33,"2018-10-10 16:17:54",0,0,1
30,"2018-10-10 16:17:14",0,0,11
8,"2018-10-10 12:12:59",0,0,4
14,"2018-10-10 08:34:00",0,0,1
6,"2018-10-09 16:30:30",0,0,8
21,"2018-10-09 16:30:24",0,0,8
14,"2018-10-09 16:07:58",0,0,1
8,"2018-10-09 12:15:15",0,0,4
14,"2018-10-09 09:30:07",0,0,1
30,"2018-10-08 21:20:16",0,0,11
33,"2018-10-08 21:10:28",0,0,1
30,"2018-10-08 20:18:33",0,0,11
33,"2018-10-08 19:48:17",1.1,51.169513896011075,1
33,"2018-10-08 19:35:31",0,0,0
14,"2018-10-08 18:13:13",1,46.75005367517883,1
14,"2018-10-08 17:59:45",0,0,0
30,"2018-10-08 17:57:25",0,0,11
33,"2018-10-08 17:07:48",0,0,0
30,"2018-10-08 16:50:20",0,0,11
33,"2018-10-08 16:03:16",0,0,0
30,"2018-10-08 15:49:39",0,0,11
21,"2018-10-08 15:47:19",1,78.30669919561247,8
6,"2018-10-08 15:46:57",1,77.02367981558055,8
6,"2018-10-08 15:19:25",0,0,7
21,"2018-10-08 15:19:21",0,0,7
33,"2018-10-08 15:03:14",0,0,0
30,"2018-10-08 14:21:58",2.1,140.09777675639023,11
30,"2018-10-08 13:31:53",1.3,62.357454699967654,10
30,"2018-10-08 13:18:40",0,0,9
33,"2018-10-08 11:49:07",0,0,0
